Country,Confirmed,Deaths,Recovered,Active,New_cases
Afghanistan,36263,1269,25198,9796,106
Albania,4880,144,2745,1991,117
Algeria,27973,1163,18837,7973,616
Andorra,907,52,803,52,10
Angola,950,41,242,667,18
Antigua and Barbuda,86,3,65,18,4
Argentina,167416,3059,72575,91782,4890
Armenia,37390,711,26665,10014,73
Australia,15303,167,9311,5825,368
Austria,20558,713,18246,1599,86
Azerbaijan,30446,423,23242,6781,396
Bahamas,382,11,91,280,40
Bahrain,39482,141,36110,3231,351
Bangladesh,226225,2965,125683,97577,2772
Barbados,110,7,94,9,0
Belarus,67251,538,60492,6221,119
Belgium,66428,9822,17452,39154,402
Belize,48,2,26,20,0
Benin,1770,35,1036,699,0
Bhutan,99,0,86,13,4
Bolivia,71181,2647,21478,47056,1752
Bosnia and Herzegovina,10498,294,4930,5274,731
Botswana,739,2,63,674,53
Brazil,2442375,87618,1846641,508116,23284
Brunei,141,3,138,0,0
Bulgaria,10621,347,5585,4689,194
Burkina Faso,1100,53,926,121,14
Burma,350,6,292,52,0
Burundi,378,1,301,76,17
Cabo Verde,2328,22,1550,756,21
Cambodia,226,0,147,79,1
Cameroon,17110,391,14539,2180,402
Canada,116458,8944,0,107514,682
Central African Republic,4599,59,1546,2994,0
Chad,922,75,810,37,7
Chile,347923,9187,319954,18782,2133
China,86783,4656,78869,3258,213
Colombia,257101,8777,131161,117163,16306
Comoros,354,7,328,19,0
Congo (Brazzaville),3200,54,829,2317,162
Congo (Kinshasa),8844,208,5700,2936,13
Costa Rica,15841,115,3824,11902,612
Cote d'Ivoire,15655,96,10361,5198,59
Croatia,4881,139,3936,806,24
Cuba,2532,87,2351,94,37New
,10,18,3.5,69.49,5.04
,6,63,2.95,56.25,5.25
,8,749,4.16,67.34,6.17
,0,0,5.73,88.53,6.48
,1,0,4.32,25.47,16.94
,0,5,3.49,75.58,4.62
,120,2057,1.83,43.35,4.21
,6,187,1.9,71.32,2.67
,6,137,1.09,60.84,1.79
,1,37,3.47,88.75,3.91
,6,558,1.39,76.34,1.82
,0,0,2.88,23.82,12.09
,1,421,0.36,91.46,0.39
,37,1801,1.31,55.56,2.36
,0,0,6.36,85.45,7.45
,4,67,0.8,89.95,0.89
,1,14,14.79,26.27,56.28
,0,0,4.17,54.17,7.69
,0,0,1.98,58.53,3.38
,0,1,0,86.87,0
,64,309,3.72,30.17,12.32
,14,375,2.8,46.96,5.96
,1,11,0.27,8.53,3.17
,614,33728,3.59,75.61,4.74
,0,0,2.13,97.87,2.17
,7,230,3.27,52.58,6.21
,0,6,4.82,84.18,5.72
,0,2,1.71,83.43,2.05
,0,22,0.26,79.63,0.33
,0,103,0.95,66.58,1.42
,0,4,0,65.04,0
,6,0,2.29,84.97,2.69
,11,0,7.68,0,inf
,0,0,1.28,33.62,3.82
,0,0,8.13,87.85,9.26
,75,1859,2.64,91.96,2.87
,4,7,5.37,90.88,5.9
,508,11494,3.41,51.02,6.69
,0,0,1.98,92.66,2.13
,3,73,1.69,25.91,6.51
,4,190,2.35,64.45,3.65
,11,88,0.73,24.14,3.01
,0,183,0.61,66.18,0.93
,3,70,2.85,80.64,3.53
,0,2,3.44,92.85,3.7
,86,3.52,AmericasCyprus,1060,19
Czechia,15516,373,11428,3715,192
Denmark,13761,613,12605,543,109
Djibouti,5059,58,4977,24,9
Dominica,18,0,18,0,0
Dominican Republic,64156,1083,30204,32869,1248
Ecuador,81161,5532,34896,40733,467
Egypt,92482,4652,34838,52992,420
El Salvador,15035,408,7778,6849,405
Equatorial Guinea,3071,51,842,2178,0
Eritrea,265,0,191,74,2
Estonia,2034,69,1923,42,0
Eswatini,2316,34,1025,1257,109
Ethiopia,14547,228,6386,7933,579
Fiji,27,0,18,9,0
Finland,7398,329,6920,149,5
France,220352,30212,81212,108928,2551
Gabon,7189,49,4682,2458,205
Gambia,326,8,66,252,49
Georgia,1137,16,922,199,6
Germany,207112,9125,190314,7673,445
Ghana,33624,168,29801,3655,655
Greece,4227,202,1374,2651,34
Greenland,14,0,13,1,1
Grenada,23,0,23,0,0
Guatemala,45309,1761,32455,11093,256
Guinea,7055,45,6257,753,47
Guinea-Bissau,1954,26,803,1125,0
Guyana,389,20,181,188,19
Haiti,7340,158,4365,2817,25
Holy See,12,0,12,0,0
Honduras,39741,1166,5039,33536,465
Hungary,4448,596,3329,523,13
Iceland,1854,10,1823,21,7
India,1480073,33408,951166,495499,44457
Indonesia,100303,4838,58173,37292,1525
Iran,293606,15912,255144,22550,2434
Iraq,112585,4458,77144,30983,2553
Ireland,25892,1764,23364,764,11
Israel,63985,474,27133,36378,2029
Italy,246286,35112,198593,12581,168
Jamaica,853,10,714,129,11
Japan,31142,998,21970,8174,594
Jordan,1176,11,1041,124,8
Kazakhstan,84648,585,54404,29659,1526
Kenya,17975,285,7833,9857,3720
,2,0,2.4,73.65,3.26
,0,77,4.45,91.6,4.86
,0,11,1.15,98.38,1.17
,0,0,0,100,0
,20,1601,1.69,47.08,3.59
,17,0,6.82,43,15.85
,46,1007,5.03,37.67,13.35
,8,130,2.71,51.73,5.25
,0,0,1.66,27.42,6.06
,0,2,0,72.08,0
,0,1,3.39,94.54,3.59
,2,39,1.47,44.26,3.32
,5,170,1.57,43.9,3.57
,0,0,0,66.67,0
,0,0,4.45,93.54,4.75
,17,267,13.71,36.86,37.2
,0,219,0.68,65.13,1.05
,2,6,2.45,20.25,12.12
,0,2,1.41,81.09,1.74
,1,259,4.41,91.89,4.79
,0,307,0.5,88.63,0.56
,0,0,4.78,32.51,14.7
,0,0,0,92.86,0
,0,0,0,100,0
,27,843,3.89,71.63,5.43
,2,105,0.64,88.69,0.72
,0,0,1.33,41.1,3.24
,0,0,5.14,46.53,11.05
,1,0,2.15,59.47,3.62
,0,0,0,100,0
,50,117,2.93,12.68,23.14
,0,0,13.4,74.84,17.9
,0,0,0.54,98.33,0.55
,637,33598,2.26,64.26,3.51
,57,1518,4.82,58,8.32
,212,1931,5.42,86.9,6.24
,96,1927,3.96,68.52,5.78
,0,0,6.81,90.24,7.55
,4,108,0.74,42.41,1.75
,5,147,14.26,80.64,17.68
,0,0,1.17,83.7,1.4
,0,364,3.2,70.55,4.54
,0,0,0.94,88.52,1.06
,0,1833,0.69,64.27,1.08
,5,90,1.59,43.58,3.64
,4204,30.53,AfricaKosovo,7413,185
Kuwait,64379,438,55057,8884,606
Kyrgyzstan,33296,1301,21205,10790,483
Laos,20,0,19,1,0
Latvia,1219,31,1045,143,0
Lebanon,3882,51,1709,2122,132
Lesotho,505,12,128,365,0
Liberia,1167,72,646,449,5
Libya,2827,64,577,2186,158
